Serial 	FileName 	SBD 	MaDe 	BaiLam
141	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\006_22.jpg	00012140	0003	BADADCDCBBCB____________________________          
142	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\006_23.jpg	00012168	0001	DDBCADCBDDBB____________________________          
143	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\006_24.jpg	00012195	0001	DDBCACCBDDBB____________________________          
144	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\006_3.jpg	00012309	0003	BADADCDCBBCB____________________________          
145	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\006_4.jpg	00012341	0001	DDBCACCBDDBB____________________________          
146	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\006_5.jpg	00012364	0003	BADADCDCBBCB____________________________          
147	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\006_6.jpg	00012390	0004	BCAABBDBCDBD____________________________          
148	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\006_7.jpg	00012417	0002	DDBBBBACADAC____________________________          
149	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\006_8.jpg	00012447	0004	BCAABBDBCDBD____________________________          
150	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\006_9.jpg	00012475	0002	DDBBBBACADAC____________________________          
151	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\007.jpg	00012226	0002	DDBBBBACADAC____________________________          
152	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\007_1.jpg	00012250	0004	BCAABBDBCDBD____________________________          
153	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\007_10.jpg	00012007	0002	DDABBBACADAC____________________________          
154	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\007_11.jpg	00012501	0001	DDBCACCBDDBB____________________________          
155	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\007_12.jpg	00012527	0003	BADADCDCBBCB____________________________          
156	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\007_13.jpg	00012569	0002	DDBBBBACADAC____________________________          
157	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\007_14.jpg	00012579	0001	DDBCBCCBDDBB____________________________          
158	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\007_15.jpg	00012613	0004	BCAABBDBCDBD____________________________          
159	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\007_16.jpg	00012644	0003	BABADCDCBBCB____________________________          
